activity,occupation,lmd_share,bench_share,diff_pp
amore,tech,0.02426,0.07597,-5.17191
amore,cler,0.05181,0.03901,1.28015
amore,sale,0.00447,0.03596,-3.14930
amore,skag,0.00000,0.00000,0.00000
amore,craf,0.31244,0.31300,-0.05609
amore,oper,0.22990,0.24333,-1.34319
amore,elmn,0.28947,0.11395,17.55261
amore,doms,0.00000,0.00000,0.00000
amorg,mang,0.16053,0.17163,-1.10949
amorg,prof,0.42123,0.39491,2.63232
amorg,tech,0.22526,0.23006,-0.47992
amorg,cler,0.15308,0.16147,-0.83983
amorg,sale,0.00414,0.00454,-0.03920
amorg,skag,0.00000,0.00000,0.00000
amorg,craf,0.00262,0.00281,-0.01870
amorg,oper,0.00145,0.00157,-0.01134
amorg,elmn,0.03168,0.03302,-0.13385
amorg,doms,0.00000,0.00000,0.00000
amtvp,mang,0.18389,0.16056,2.33293
amtvp,prof,0.14981,0.14924,0.05646
amtvp,tech,0.15740,0.16459,-0.71905
amtvp,cler,0.07730,0.08116,-0.38679
amtvp,sale,0.02017,0.02078,-0.06134
amtvp,skag,0.00000,0.00000,0.00000
amtvp,craf,0.15747,0.15965,-0.21789
amtvp,oper,0.18942,0.19659,-0.71661
amtvp,elmn,0.06455,0.06742,-0.28770
amtvp,doms,0.00000,0.00000,0.00000
amtvs,mang,0.27317,0.26483,0.83467
amtvs,prof,0.04273,0.04322,-0.04943
amtvs,tech,0.01531,0.01551,-0.01927
amtvs,cler,0.09316,0.09331,-0.01537
amtvs,sale,0.17456,0.17719,-0.26325
amtvs,skag,0.00000,0.00000,0.00000
amtvs,craf,0.34333,0.34750,-0.41661
amtvs,oper,0.01750,0.01750,-0.00013
amtvs,elmn,0.04023,0.04094,-0.07062
amtvs,doms,0.00000,0.00000,0.00000
anmmi,mang,0.26129,0.24369,1.76056
anmmi,prof,0.02407,0.02457,-0.05006
anmmi,tech,0.02998,0.03102,-0.10377
anmmi,cler,0.13291,0.13725,-0.43383
anmmi,sale,0.00822,0.00850,-0.02809
anmmi,skag,0.00000,0.00000,0.00000
anmmi,craf,0.24482,0.25030,-0.54737
